distance_AC_BS:vector AeroComm.ac[0].pktHandler (#0 - theoreticalValidation-0-20231209-12:48:48-17304),,distance_AC_BS:vector AeroComm.ac[0].pktHandler (#1 - theoreticalValidation-1-20231209-12:48:51-1000),,distance_AC_BS:vector AeroComm.ac[0].pktHandler (#2 - theoreticalValidation-2-20231209-12:48:53-10212),,distance_AC_BS:vector AeroComm.ac[0].pktHandler (#3 - theoreticalValidation-3-20231209-12:48:56-17860),,distance_AC_BS:vector AeroComm.ac[0].pktHandler (#4 - theoreticalValidation-4-20231209-12:48:58-21108),,distance_AC_BS:vector AeroComm.ac[0].pktHandler (#5 - theoreticalValidation-5-20231209-12:49:00-5892),,distance_AC_BS:vector AeroComm.ac[0].pktHandler (#6 - theoreticalValidation-6-20231209-12:49:04-7036),,distance_AC_BS:vector AeroComm.ac[0].pktHandler (#7 - theoreticalValidation-7-20231209-12:49:07-13252),,distance_AC_BS:vector AeroComm.ac[0].pktHandler (#8 - theoreticalValidation-8-20231209-12:49:09-12600),,distance_AC_BS:vector AeroComm.ac[0].pktHandler (#9 - theoreticalValidation-9-20231209-12:49:11-11884),
1,17515.17770392300001,0.871989805251,17515.17770392300001,1,17515.17770392300001,1,17515.17770392300001,1,17515.17770392300001,1,17515.17770392300001,0.308325683232,17515.17770392300001,1,17515.17770392300001,0.44658215763,17515.17770392300001,1,17515.17770392300001
1.097627004609,17418.73348200899628,1,17515.17770392300001,1.934059676714,17483.88595446199901,1.78572029341,17350.72930733899552,1.746858806815,17411.46862459799735,1.542641286273,17573.81950424399833,1,17515.17770392300001,1.02788667893,17549.57710352700083,1,17515.17770392300001,1.300748487003,17339.92783748099458
2,17418.73348200899628,1.242153968196,17480.31847932399975,2,17483.88595446199901,2,17350.72930733899552,1.769087682944,17411.46862459799735,2,17573.81950424399833,1.200769173912,17475.2171491100016,2,17549.57710352700083,1.099894474726,17478.84257983700075,1.452770023141,17339.92783748099458
2.283316237387,17237.65365293999633,1.294006424024,17480.31847932399975,3,17218.95761731299712,3,17094.31411624999595,2,17411.46862459799735,2.140163603239,17307.46168855099671,2,17475.2171491100016,2.871673555579,17303.54411379499647,2,17478.84257983700075,2,17339.92783748099458
3,17237.65365293999633,2,17480.31847932399975,3.735302586108,16954.3500869409981,3.6806724458,16838.48548579099585,3,17217.38661093400147,2.18166749645,17307.46168855099671,2.680868556722,17201.348769958,3,17303.54411379499647,2.146221168339,17208.71419635499475,2.46367677534,17072.38008167899531
3.71369496733,16982.82326340399591,3,17211.71216899499991,4,16954.3500869409981,4,16838.48548579099585,3.706169012934,17025.53418577199766,3,17307.46168855099671,3,17201.348769958,4,17035.41002456799463,2.257595340255,17208.71419635499475,3,17072.38008167899531
4,16982.82326340399591,3.157088151201,16943.31105636299613,4.829767092596,16690.07855677399488,4.344632054679,16583.27053758699907,4,17025.53418577199766,3.17084735306,17041.37850049499678,4,16927.51714691700176,4.418003655504,16767.49834162299516,3,17208.71419635499475,3.328927752562,16805.07294460100087
5,16728.63171645999678,4,16943.31105636299613,5,16690.07855677399488,4.76344478596,16583.27053758699907,4.185048155952,16835.98755162800077,4,17041.37850049499678,4.427642871159,16653.72402585699452,5,16767.49834162299516,3.358998249284,16938.74265639399522,4,16805.07294460100087
5.40222645551,16475.10856205500018,4.256413103081,16675.12498405700165,5.175157742574,16426.15924399499628,5,16583.27053758699907,5,16835.98755162800077,4.438143816311,16775.58291716199888,4.954272908158,16653.72402585699452,5.736173438374,16499.81989248500025,3.976231821346,16938.74265639399522,5,16538.01806778500025
6,16475.10856205500018,5,16675.12498405700165,6,16426.15924399499628,6,16328.69804693399778,5.923437233083,16648.82546289399756,5,16775.58291716199888,5,16653.72402585699452,6,16499.81989248500025,4,16938.74265639399522,5.086130704731,16271.2278720549984
6.607753196266,16222.28513729299806,6,16407.16449701399683,7,16162.60940269099951,6.405903035775,16074.79853717099827,6,16648.82546289399756,5.324173708446,16510.08882898600127,5.127141458913,16379.97133747399852,7,16232.38621550999956,4.0674357214,16668.93551442700113,5.575228263159,16271.2278720549984
7,16222.28513729299806,6.151874324772,16139.44083130400025,7.12052645022,15899.44740599199935,6.534412250389,16074.79853717099827,6.678471185267,16464.12924139999808,6,16510.08882898600127,6,16379.97133747399852,7.477028807625,15965.20961125900062,4.345824875868,16668.93551442700113,5.938908706885,16271.2278720549984
8,15970.19467437699853,7,16139.44083130400025,8,15899.44740599199935,6.617805503309,16074.79853717099827,7,16464.12924139999808,6.8217814737,16244.91101817500016,6.194620236288,16106.26114342999785,8,15965.20961125900062,5,16668.93551442700113,6,16271.2278720549984
8.323644435965,15718.87243783899971,7.022519111167,15871.96597082999863,8.831768339965,15636.69283591999915,7,16074.79853717099827,7.740182559937,16281.98280277899897,7,16244.91101817500016,7,16106.26114342999785,8.209593611304,15698.30320545399803,5.067282550502,16399.30088465999865,7,16004.71559370099926
9,15718.87243783899971,7.992017303593,15871.96597082999863,9,15636.69283591999915,7.358024311252,15821.60440761199782,8,16281.98280277899897,8,15980.06522993199901,7.641823844052,15832.5956476209976,8.225687508937,15698.30320545399803,6,16399.30088465999865,7.755659346003,15738.4953513079999
9.413410790731,15468.35587302199922,8,15871.96597082999863,10,15374.36658178300053,7.573337663896,15821.60440761199782,9,16102.47267446700057,8.485604197253,15715.56825044300053,7.670973769388,15832.5956476209976,8.523697728757,15698.30320545399803,6.476210827473,16129.84741849599956,8,15738.4953513079999
10,15468.35587302199922,8.832752906717,15604.75270961199926,10.261400328949,15112.49094803099791,8,15821.60440761199782,9.373105128761,15925.68800410599937,9,15715.56825044300053,8,15832.5956476209976,9,15698.30320545399803,6.922372712753,16129.84741849599956,9,15472.58221913899975
11,15218.68476675000051,9,15604.75270961199926,11,15112.49094803099791,9,15569.15007214399878,9.838561782147,15925.68800410599937,9.482618224808,15451.43799239600043,8.371930315158,15558.97720862799902,9.143169589807,15431.68101815999757,7,16129.84741849599956,9.460125481244,15206.9923078129977
11.107914265246,14969.90142128099976,9.473825779277,15337.81472029399806,11.479471525177,14851.08977263099945,9.543395299464,15317.47210947699927,10,15925.68800410599937,10,15451.43799239600043,9,15558.97720862799902,9.545741093811,15431.68101815999757,7.230183242819,15860.58434923599993,9.868070283439,15206.9923078129977
11.955223858823,14969.90142128099976,10,15337.81472029399806,12,14851.08977263099945,10,15317.47210947699927,10.683263399638,15751.72055704199733,10.649261708838,15187.69358883699891,10,15285.40835349099865,10,15431.68101815999757,8,15860.58434923599993,10,15206.9923078129977
12,14969.90142128099976,10.134495419915,15071.16662959200035,12.874929173849,14590.18855712,10.733499438036,15066.60942608099863,10.706061006523,15751.72055704199733,11,15187.69358883699891,10.209424341096,15011.89179298000087,11,15165.3580399239981,8.60763556417,15591.52154125299781,11,14941.74285311899797
13,14722.05084266699847,10.44334877096,15071.16662959200035,13,14590.18855712,10.932442815043,15066.60942608099863,11,15751.72055704199733,11.098855006975,14924.3554963370006,10.277352678122,15011.89179298000087,11.460948576685,14899.35031566500032,9,15591.52154125299781,11.368342866655,14676.85231392000053
