acServiceTime:vector AeroComm.ac[0].pktHandler (#0 - theoreticalValidation-0-20231209-12:57:26-20196),,acServiceTime:vector AeroComm.ac[0].pktHandler (#1 - theoreticalValidation-1-20231209-12:57:29-12256),,acServiceTime:vector AeroComm.ac[0].pktHandler (#2 - theoreticalValidation-2-20231209-12:57:32-12036),,acServiceTime:vector AeroComm.ac[0].pktHandler (#3 - theoreticalValidation-3-20231209-12:57:35-20300),,acServiceTime:vector AeroComm.ac[0].pktHandler (#4 - theoreticalValidation-4-20231209-12:57:38-14604),,acServiceTime:vector AeroComm.ac[0].pktHandler (#5 - theoreticalValidation-5-20231209-12:57:40-15904),,acServiceTime:vector AeroComm.ac[0].pktHandler (#6 - theoreticalValidation-6-20231209-12:57:43-12860),,acServiceTime:vector AeroComm.ac[0].pktHandler (#7 - theoreticalValidation-7-20231209-12:57:45-16292),,acServiceTime:vector AeroComm.ac[0].pktHandler (#8 - theoreticalValidation-8-20231209-12:57:48-20036),,acServiceTime:vector AeroComm.ac[0].pktHandler (#9 - theoreticalValidation-9-20231209-12:57:50-1312),
1,0.000017515177703922,0.871989805251,0.000017515177703922,1,0.000017515177703922,1,0.000017515177703922,1,0.000017515177703922,1,0.000017515177703922,0.308325683232,0.000017515177703922,1,0.000017515177703922,0.44658215763,0.000017515177703922,1,0.000017515177703922
1.097627004609,0.000017418733482008,1,0.000017515177703922,1.934059676714,0.000017483885954461,1.78572029341,0.000017350729307338,1.746858806815,0.000017411468624597,1.542641286273,0.000017573819504243,1,0.000017515177703922,1.02788667893,0.000017549577103526,1,0.000017515177703922,1.300748487003,0.00001733992783748
2,0.000017418733482008,1.242153968196,0.000017480318479323,2,0.000017483885954461,2,0.000017350729307338,1.769087682944,0.000017411468624597,2,0.000017573819504243,1.200769173912,0.000017475217149109,2,0.000017549577103526,1.099894474726,0.000017478842579837,1.452770023141,0.00001733992783748
2.283316237387,0.000017237653652939,1.294006424024,0.000017480318479323,3,0.000017218957617312,3,0.000017094314116249,2,0.000017411468624597,2.140163603239,0.00001730746168855,2,0.000017475217149109,2.871673555579,0.000017303544113794,2,0.000017478842579837,2,0.00001733992783748
3,0.000017237653652939,2,0.000017480318479323,3.735302586108,0.00001695435008694,3.6806724458,0.00001683848548579,3,0.000017217386610933,2.18166749645,0.00001730746168855,2.680868556722,0.000017201348769957,3,0.000017303544113794,2.146221168339,0.000017208714196354,2.46367677534,0.000017072380081678
3.71369496733,0.000016982823263403,3,0.000017211712168994,4,0.00001695435008694,4,0.00001683848548579,3.706169012934,0.000017025534185771,3,0.00001730746168855,3,0.000017201348769957,4,0.000017035410024567,2.257595340255,0.000017208714196354,3,0.000017072380081678
4,0.000016982823263403,3.157088151201,0.000016943311056362,4.829767092596,0.000016690078556773,4.344632054679,0.000016583270537586,4,0.000017025534185771,3.17084735306,0.000017041378500494,4,0.000016927517146917,4.418003655504,0.000016767498341622,3,0.000017208714196354,3.328927752562,0.000016805072944601
5,0.000016728631716459,4,0.000016943311056362,5,0.000016690078556773,4.76344478596,0.000016583270537586,4.185048155952,0.000016835987551627,4,0.000017041378500494,4.427642871159,0.000016653724025857,5,0.000016767498341622,3.358998249284,0.000016938742656393,4,0.000016805072944601
5.40222645551,0.000016475108562054,4.256413103081,0.000016675124984056,5.175157742574,0.000016426159243994,5,0.000016583270537586,5,0.000016835987551627,4.438143816311,0.000016775582917161,4.954272908158,0.000016653724025857,5.736173438374,0.000016499819892484,3.976231821346,0.000016938742656393,5,0.000016538018067784
6,0.000016475108562054,5,0.000016675124984056,6,0.000016426159243994,6,0.000016328698046934,5.923437233083,0.000016648825462893,5,0.000016775582917161,5,0.000016653724025857,6,0.000016499819892484,4,0.000016938742656393,5.086130704731,0.000016271227872054
6.607753196266,0.000016222285137292,6,0.000016407164497013,7,0.000016162609402691,6.405903035775,0.000016074798537171,6,0.000016648825462893,5.324173708446,0.000016510088828985,5.127141458913,0.000016379971337473,7,0.000016232386215509,4.0674357214,0.000016668935514426,5.575228263159,0.000016271227872054
7,0.000016222285137292,6.151874324772,0.000016139440831303,7.12052645022,0.000015899447405991,6.534412250389,0.000016074798537171,6.678471185267,0.000016464129241399,6,0.000016510088828985,6,0.000016379971337473,7.477028807625,0.000015965209611259,4.345824875868,0.000016668935514426,5.938908706885,0.000016271227872054
8,0.000015970194674376,7,0.000016139440831303,8,0.000015899447405991,6.617805503309,0.000016074798537171,7,0.000016464129241399,6.8217814737,0.000016244911018174,6.194620236288,0.000016106261143429,8,0.000015965209611259,5,0.000016668935514426,6,0.000016271227872054
8.323644435965,0.000015718872437839,7.022519111167,0.00001587196597083,8.831768339965,0.00001563669283592,7,0.000016074798537171,7.740182559937,0.000016281982802779,7,0.000016244911018174,7,0.000016106261143429,8.209593611304,0.000015698303205454,5.067282550502,0.000016399300884659,7,0.0000160047155937
9,0.000015718872437839,7.992017303593,0.00001587196597083,9,0.00001563669283592,7.358024311252,0.000015821604407611,8,0.000016281982802779,8,0.000015980065229931,7.641823844052,0.00001583259564762,8.225687508937,0.000015698303205454,6,0.000016399300884659,7.755659346003,0.000015738495351307
